PERIODO,CCAA,DESEMPLEO,DESEMPLEO HOMBRES,DESEMPLEO MUJERES,SUICIDIOS,SUICIDIOS HOMBRES,SUICIDIOS MUJERES,PIB
2002," Navarra, Comunidad Foral de",5.84,8.16,9.72,39.0,28.0,11.0,31053.0
2003," Navarra, Comunidad Foral de",5.8,5.76,8.16,48.0,39.0,9.0,30468.0
2004," Navarra, Comunidad Foral de",5.57,5.74,7.47,51.0,34.0,17.0,29375.0
2005," Navarra, Comunidad Foral de",5.65,4.97,7.4,53.0,27.0,26.0,28520.0
2006," Navarra, Comunidad Foral de",5.38,5.73,7.02,47.0,38.0,9.0,27524.0
2007," Navarra, Comunidad Foral de",4.72,11.09,6.9,52.0,36.0,16.0,27060.0
2008," Navarra, Comunidad Foral de",6.83,10.29,8.41,48.0,39.0,9.0,27030.0
2009," Navarra, Comunidad Foral de",10.83,11.76,11.94,51.0,38.0,13.0,28097.0
2010," Navarra, Comunidad Foral de",11.9,15.56,12.4,39.0,31.0,8.0,28306.0
2011," Navarra, Comunidad Foral de",12.99,16.66,13.49,59.0,48.0,11.0,28402.0
2012," Navarra, Comunidad Foral de",16.16,16.52,15.53,52.0,36.0,16.0,29772.0
2013," Navarra, Comunidad Foral de",17.93,14.86,18.85,62.0,42.0,20.0,29136.0
2014," Navarra, Comunidad Foral de",15.71,12.1,15.98,41.0,32.0,9.0,27925.0
2015," Navarra, Comunidad Foral de",13.83,10.52,15.17,56.0,42.0,14.0,26394.0
2016," Navarra, Comunidad Foral de",12.48,10.09,14.28,59.0,41.0,18.0,24891.0
2017," Navarra, Comunidad Foral de",10.24,8.89,13.16,53.0,34.0,19.0,23633.0
2018," Navarra, Comunidad Foral de",10.03,8.68,11.09,56.0,46.0,10.0,22611.0
2019," Navarra, Comunidad Foral de",8.24,12.96,9.21,44.0,32.0,12.0,21506.0
2020," Navarra, Comunidad Foral de",10.06,9.97,10.12,46.0,37.0,9.0,20322.0
2000, País Vasco,53.87,4.06,18.94,179.0,135.0,44.0,30401.0
2001, País Vasco,54.15,3.83,14.9,137.0,111.0,26.0,33938.0
2002, País Vasco,9.56,5.41,13.97,163.0,115.0,48.0,33111.0
2003, País Vasco,9.5,3.7,12.56,182.0,136.0,46.0,32136.0
2004, País Vasco,9.82,5.08,12.11,179.0,132.0,47.0,31004.0
2005, País Vasco,7.41,4.14,9.64,168.0,128.0,40.0,30046.0
2006, País Vasco,7.16,5.1,9.03,186.0,123.0,63.0,28946.0
2007, País Vasco,6.22,4.05,7.85,181.0,130.0,51.0,28387.0
2008, País Vasco,6.62,6.46,7.76,180.0,133.0,47.0,28697.0
2009, País Vasco,11.34,12.59,11.64,172.0,123.0,49.0,29364.0
2010, País Vasco,10.69,12.84,11.18,126.0,101.0,25.0,29655.0
2011, País Vasco,12.35,16.65,13.03,167.0,127.0,40.0,29364.0
2012, País Vasco,15.6,19.04,15.65,171.0,126.0,45.0,30819.0
2013, País Vasco,16.57,19.21,16.47,179.0,130.0,49.0,29883.0
2014, País Vasco,16.32,15.59,16.11,148.0,115.0,33.0,28225.0
2015, País Vasco,14.76,14.12,14.66,170.0,127.0,43.0,26245.0
2016, País Vasco,12.59,12.17,13.14,171.0,127.0,44.0,24540.0
2017, País Vasco,11.3,9.54,12.19,162.0,122.0,40.0,23165.0
2018, País Vasco,9.97,9.11,9.84,188.0,131.0,57.0,22051.0
2019, País Vasco,9.15,10.12,9.43,153.0,103.0,50.0,20934.0
2020, País Vasco,9.54,9.27,10.45,169.0,120.0,49.0,19580.0
2000," Rioja, La",51.27,14.01,14.9,29.0,21.0,8.0,25714.0
2001," Rioja, La",50.44,11.65,5.76,29.0,20.0,9.0,28128.0
2002," Rioja, La",7.05,15.8,9.9,21.0,16.0,5.0,27511.0
2003," Rioja, La",6.03,3.8,9.87,25.0,20.0,5.0,26554.0
