Comunidad autónoma de residencia;Nivel de ingresos del hogar (reducida);Gastos totales, medios, distribución e índice;Periodo;Total
Total Nacional;De 2.000 a 2.999 euros;Gasto total;2018;163.802.084,34
Total Nacional;De 2.000 a 2.999 euros;Gasto total;2017;150.657.258,62
Total Nacional;De 2.000 a 2.999 euros;Gasto total;2016;144.624.597,61
Total Nacional;De 2.000 a 2.999 euros;Gasto total;2015;141.127.634,32
Total Nacional;De 2.000 a 2.999 euros;Gasto total;2014;135.859.923,64
Total Nacional;De 2.000 a 2.999 euros;Gasto total;2013;136.292.554,83
Total Nacional;De 2.000 a 2.999 euros;Gasto total;2012;146.050.996,43
Total Nacional;De 2.000 a 2.999 euros;Gasto total;2011;146.025.011,63
Total Nacional;De 2.000 a 2.999 euros;Gasto total;2010;139.016.205,61
Total Nacional;De 2.000 a 2.999 euros;Gasto total;2009;155.545.161,45
Total Nacional;De 2.000 a 2.999 euros;Gasto total;2008;165.619.888,22
Total Nacional;De 2.000 a 2.999 euros;Gasto total;2007;161.179.756,72
Total Nacional;De 2.000 a 2.999 euros;Gasto total;2006;133.021.462,09
Total Nacional;De 2.000 a 2.999 euros;Distribución porcentual;2020;27,26
Total Nacional;De 2.000 a 2.999 euros;Distribución porcentual;2019;30,93
Total Nacional;De 2.000 a 2.999 euros;Distribución porcentual;2018;29,64
Total Nacional;De 2.000 a 2.999 euros;Distribución porcentual;2017;28,09
Total Nacional;De 2.000 a 2.999 euros;Distribución porcentual;2016;28,03
Total Nacional;De 2.000 a 2.999 euros;Distribución porcentual;2015;28,25
Total Nacional;De 2.000 a 2.999 euros;Distribución porcentual;2014;27,67
Total Nacional;De 2.000 a 2.999 euros;Distribución porcentual;2013;27,79
Total Nacional;De 2.000 a 2.999 euros;Distribución porcentual;2012;28,81
Total Nacional;De 2.000 a 2.999 euros;Distribución porcentual;2011;28,33
Total Nacional;De 2.000 a 2.999 euros;Distribución porcentual;2010;26,97
Total Nacional;De 2.000 a 2.999 euros;Distribución porcentual;2009;29,95
Total Nacional;De 2.000 a 2.999 euros;Distribución porcentual;2008;30,88
Total Nacional;De 2.000 a 2.999 euros;Distribución porcentual;2007;30,89
Total Nacional;De 2.000 a 2.999 euros;Distribución porcentual;2006;27,35
Total Nacional;De 2.000 a 2.999 euros;Gasto medio por hogar;2020;29.296,74
Total Nacional;De 2.000 a 2.999 euros;Gasto medio por hogar;2019;33.775,95
Total Nacional;De 2.000 a 2.999 euros;Gasto medio por hogar;2018;34.161,84
Total Nacional;De 2.000 a 2.999 euros;Gasto medio por hogar;2017;34.072,67
Total Nacional;De 2.000 a 2.999 euros;Gasto medio por hogar;2016;33.938,52
Total Nacional;De 2.000 a 2.999 euros;Gasto medio por hogar;2015;33.630,68
Total Nacional;De 2.000 a 2.999 euros;Gasto medio por hogar;2014;33.666,97
Total Nacional;De 2.000 a 2.999 euros;Gasto medio por hogar;2013;34.017,95
Total Nacional;De 2.000 a 2.999 euros;Gasto medio por hogar;2012;34.742,23
Total Nacional;De 2.000 a 2.999 euros;Gasto medio por hogar;2011;35.084,72
Total Nacional;De 2.000 a 2.999 euros;Gasto medio por hogar;2010;35.943,35
Total Nacional;De 2.000 a 2.999 euros;Gasto medio por hogar;2009;35.870,83
Total Nacional;De 2.000 a 2.999 euros;Gasto medio por hogar;2008;37.540,79
Total Nacional;De 2.000 a 2.999 euros;Gasto medio por hogar;2007;39.206,23
Total Nacional;De 2.000 a 2.999 euros;Gasto medio por hogar;2006;39.499,97
Total Nacional;De 2.000 a 2.999 euros;Gasto medio por persona;2020;10.751,24
Total Nacional;De 2.000 a 2.999 euros;Gasto medio por persona;2019;12.119,81
Total Nacional;De 2.000 a 2.999 euros;Gasto medio por persona;2018;12.239,52
Total Nacional;De 2.000 a 2.999 euros;Gasto medio por persona;2017;12.248,36
Total Nacional;De 2.000 a 2.999 euros;Gasto medio por persona;2016;12.060,94
Total Nacional;De 2.000 a 2.999 euros;Gasto medio por persona;2015;11.857,04
Total Nacional;De 2.000 a 2.999 euros;Gasto medio por persona;2014;11.784,66
Total Nacional;De 2.000 a 2.999 euros;Gasto medio por persona;2013;11.833,17
Total Nacional;De 2.000 a 2.999 euros;Gasto medio por persona;2012;11.984,12
Total Nacional;De 2.000 a 2.999 euros;Gasto medio por persona;2011;11.932,22
Total Nacional;De 2.000 a 2.999 euros;Gasto medio por persona;2010;11.928,27
Total Nacional;De 2.000 a 2.999 euros;Gasto medio por persona;2009;11.937,87
Total Nacional;De 2.000 a 2.999 euros;Gasto medio por persona;2008;12.196,46
Total Nacional;De 2.000 a 2.999 euros;Gasto medio por persona;2007;12.444,98
Total Nacional;De 2.000 a 2.999 euros;Gasto medio por persona;2006;12.186,99
Total Nacional;De 2.000 a 2.999 euros;Gasto medio por unidad de consumo;2020;16.355,48
Total Nacional;De 2.000 a 2.999 euros;Gasto medio por unidad de consumo;2019;18.595,63
Total Nacional;De 2.000 a 2.999 euros;Gasto medio por unidad de consumo;2018;18.807,4
Total Nacional;De 2.000 a 2.999 euros;Gasto medio por unidad de consumo;2017;18.806,7
Total Nacional;De 2.000 a 2.999 euros;Gasto medio por unidad de consumo;2016;18.579,24
Total Nacional;De 2.000 a 2.999 euros;Gasto medio por unidad de consumo;2015;18.296,58
Total Nacional;De 2.000 a 2.999 euros;Gasto medio por unidad de consumo;2014;18.213,98
Total Nacional;De 2.000 a 2.999 euros;Gasto medio por unidad de consumo;2013;18.311,97
Total Nacional;De 2.000 a 2.999 euros;Gasto medio por unidad de consumo;2012;18.619,65
