Causa de muerte	Sexo	Edad	Comunidades y Ciudades Autónomas	Periodo	Total
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	11 Extremadura	2005	89
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	11 Extremadura	2004	93
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	11 Extremadura	2003	69
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	11 Extremadura	2002	90
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	11 Extremadura	2001	67
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	11 Extremadura	2000	80
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	12 Galicia	2020	305
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	12 Galicia	2019	292
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	12 Galicia	2018	274
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	12 Galicia	2017	323
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	12 Galicia	2016	338
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	12 Galicia	2015	318
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	12 Galicia	2014	371
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	12 Galicia	2013	333
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	12 Galicia	2012	332
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	12 Galicia	2011	306
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	12 Galicia	2010	275
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	12 Galicia	2009	340
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	12 Galicia	2008	296
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	12 Galicia	2007	304
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	12 Galicia	2006	300
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	12 Galicia	2005	329
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	12 Galicia	2004	301
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	12 Galicia	2003	337
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	12 Galicia	2002	284
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	12 Galicia	2001	266
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	12 Galicia	2000	293
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	13 Madrid, Comunidad de	2020	373
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	13 Madrid, Comunidad de	2019	350
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	13 Madrid, Comunidad de	2018	342
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	13 Madrid, Comunidad de	2017	341
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	13 Madrid, Comunidad de	2016	305
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	13 Madrid, Comunidad de	2015	327
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	13 Madrid, Comunidad de	2014	345
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	13 Madrid, Comunidad de	2013	333
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	13 Madrid, Comunidad de	2012	95
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	13 Madrid, Comunidad de	2011	139
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	13 Madrid, Comunidad de	2010	122
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	13 Madrid, Comunidad de	2009	153
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	13 Madrid, Comunidad de	2008	179
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	13 Madrid, Comunidad de	2007	159
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	13 Madrid, Comunidad de	2006	219
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	13 Madrid, Comunidad de	2005	257
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	13 Madrid, Comunidad de	2004	304
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	13 Madrid, Comunidad de	2003	279
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	13 Madrid, Comunidad de	2002	267
